2017 Colorado Elk Harvest Estimates
Contents
2017 Elk Data Analysis Unit (DAU) Map ......................................................................... 2
Methodology ........................................................................................................ 3
"2017 Elk Hunters, Harvest and Recreation Days for All Seasons By DAU with 95% Confidence Intervals"
....................................................................................................................... 4
"2017 Elk Harvest, Hunters and Recreation Days for All Manners of Take .................................. 5"
"2017 Elk Harvest, Hunters and Recreation Days for All Rifle Seasons ...................................... 8"
"2017 Elk Harvest, Hunters and Recreation Days for All Ranching for Wildlife Seasons ................ 12"
"2017 Elk Harvest, Hunters and Recreation Days for Early High Country Seasons ....................... 12"
"2017 Elk Harvest, Hunters and Recreation Days for Late Seasons (Includes PLOs) ..................... 12"
"2017 Elk Harvest, Hunters and Recreation Days for Private Land Only Seasons ........................ 14"
"2017 Elk Harvest, Hunters and Recreation Days for First Rifle Seasons .................................. 16"
"2017 Elk Harvest, Hunters and Recreation Days for Second Rifle Seasons .............................. 18"
"2017 Elk Harvest, Hunters and Recreation Days for Third Rifle Seasons ................................. 21"
"2017 Elk Harvest, Hunters and Recreation Days for Fourth Rifle Seasons ............................... 23"
"2017 Elk Harvest, Hunters and Percent Success for All Rifle Seasons .................................... 25"
"2017 Elk Harvest, Hunters and Percent Success for First Rifle Seasons .................................. 28"
"2017 Elk Harvest, Hunters and Percent Success for Second Rifle Seasons ............................... 30"
"2017 Elk Harvest, Hunters and Percent Success for Third Rifle Seasons ................................. 32"
"2017 Elk Harvest, Hunters and Percent Success for Fourth Rifle Seasons ............................... 35"
"2017 Elk Harvest, Hunters and Recreation Days for All Archery Seasons ................................ 37"
"2017 Elk Harvest, Hunters and Recreation Days for All Muzzleloader Seasons .......................... 40"
"2017 Elk Harvest, Hunters and Percent Success for All Muzzleloader Seasons .......................... 42"
"2017 Elk Harvest, Hunters and Recreation Days for 1 st Season Limited Antlered Seasons ............ 45"
"2017 Elk Harvest, Hunters and Recreation Days for 2 nd Season Limited Antlered Seasons ............ 47"
"2017 Elk Harvest, Hunters and Recreation Days for 3 rd Season Limited Antlered Seasons ............ 47"
"2017 Elk Harvest, Hunters and Recreation Days for 4 th Season Limited Antlered Seasons ............ 48"
"2017 Elk Harvest, Hunters and Recreation Days for 1 st Season Limited Antlerless Seasons ........... 50"
"2017 Elk Harvest, Hunters and Recreation Days for 2 nd Season Limited Antlerless Seasons .......... 52"
"2017 Elk Harvest, Hunters and Recreation Days for 2nd Split Season Limited Antlerless Seasons .... 54"
"2017 Elk Harvest, Hunters and Recreation Days for 3 rd Season Limited Antlerless Seasons ........... 54"
"2017 Elk Harvest, Hunters and Recreation Days for 3 rd Split Season Limited Antlerless Seasons .... 56"
"2017 Elk Harvest, Hunters and Recreation Days for 4 th Season Limited Antlerless Seasons ........... 56"
"2017 Elk Harvest, Hunters and Recreation Days for 4 th Split Season Limited Antlerless Seasons .... 59"
"2017 Elk Harvest, Hunters and Recreation Days for 1 st Season Limited Either-sex Seasons ........... 59"
"2017 Elk Harvest, Hunters and Recreation Days for 2 nd Season Limited Either-sex Seasons .......... 60"
"2017 Elk Harvest, Hunters and Recreation Days for 3 rd Season Limited Either-sex Seasons .......... 60"
1

"2017 Elk Harvest, Hunters and Recreation Days for 4 th Season Limited Either-sex Seasons .......... 60"
"2017 Elk Harvest, Hunters and Recreation Days for Early PLO Seasons Only ............................ 61"
"2017 Elk Harvest, Hunters and Recreation Days for Late PLO Seasons Only ............................ 63"
"2017 Elk Harvest, Hunters and Recreation Days for All Late Seasons (Does not include PLOs) ....... 64"
"2017 Elk Harvest, Hunters and Percent Success for All Late Seasons (Does not include PLOs) ....... 65"
"2017 Elk Harvest, Hunters and Recreation Days for All Bosque del Oso Seasons ....................... 66"
"2017 Elk Harvest, Hunters and Recreation Days for All Damage, AFA and Auction/Raffle Hunts .... 66"
2017 Elk Data Analysis Unit (DAU) Map
2

Methodology
"Colorado Parks and Wildlife (CPW), utilizes an annual Big Game Harvest Survey of Colorado hunting"
"license holders as part of managing the deer, elk and pronghorn herds and allocating licenses. In"
2017 the sale of hunting and fishing licenses resulted in more than $75 million in revenue for the
"CPW. Of these license revenues more than 70% are from the sale of deer, elk and pronghorn"
licenses. CPW contracts with a third party vendor who conducts the annual harvest survey using an
email/online based survey in conjunction with live operator telephone based survey. The annual Big
Game Harvest Survey is designed to collect general harvest and participation data for all seasons
and manners of take at a Data Analysis Unit (DAU) level. Each DAU represents a geographic area
that a herd will utilize throughout the year and consists of one or more Game Management Unit
(GMU). GMUs are used to manage hunter distribution through established hunts and licensing levels.
This annual survey is designed to support DAU population modeling. By collecting and analyzing
"survey responses at the larger herd management-based scale, errors in data reporting and standard"
error estimates are reduced.
"CPW sold approximately 342,000 deer, elk and pronghorn licenses for nearly 2,300 different hunts"
"in 2017. Hunts held between August 15, 2017 and January 31, 2018 and that were available to the"
"general public through the limited license draws, Landowner Preference Program (LPP) vouchers,"
Over-The-Counter or Leftover sales were included in the annual Big Game Harvest Survey. To
"ensure all hunts were included in the DAU estimates, the Big Game Harvest Survey used stratified"
"random sampling of licenses based on hunt code, residency and/or hunter age group. In total,"
"327,913 licenses were sold for hunts included in the 2017 harvest survey resulting in 162,190 deer,"
elk and pronghorn licenses being sampled overall.
"In 2017, 217,301 licenses were sold for the 1,040 elk hunts include in the annual harvest survey."
"3,462 of those licenses had invalid contact information at the time of sampling and were not"
"included in the sample. The stratified random sampling resulted in 108,006 elk licenses being"
"selected for the annual harvest survey. At the end of data collection, 50,618 elk surveys had been"
completed resulting in a 47 percent overall response rate.
The harvest figures are estimates of harvest and participation extrapolated by comparing survey
responses to licenses sold. The DAU estimates are followed by the standard error (SE) of the
estimate which is a measure of the precision of the estimate. The 95% Lower Control Limit (LCL)
and 95% Upper Control Limit (UCL) columns provide the upper and lower values for the 95%
"confidence limits around the estimate. For example, we estimated total harvest of elk for DAU E-6"
"at 6,869 with a SE of 196. The 95% confidence interval range estimates that between 6,496 and"
"7,264 elk were harvested in E-6 during the 2017 big game season."
3

"2017 Elk Hunters, Harvest and Recreation Days for All Seasons By DAU with 95% Confidence",,,,,,,,,,,,,,,
Intervals,,,,,,,,,,,,,,,
,,Total Hunters,,,,Total Harvest,,,,Total Recreation Days,,,,,
,,,,,,,,,Percent,,,,,Sample,Response
DAU,estimate,SE,LCL,UCL,estimate,SE,LCL,UCL,Success,estimate,SE,LCL,UCL,Rate,Rate
E-1,392,0,392,392,202,8,186,218,51.4,1797,48,1706,1894,0.962,0.551
E-2,20426,202,20033,20826,4990,121,4758,5234,24.4,89152,1338,86567,91814,0.418,0.504
E-3,12198,175,11861,12545,1811,82,1657,1979,14.8,58355,1052,56329,60454,0.369,0.497
E-4,5868,87,5701,6040,922,66,802,1061,15.7,33010,1074,30971,35183,0.404,0.455
E-6,34288,331,33645,34944,6869,196,6496,7264,20,159852,1868,156232,163555,0.316,0.459
E-7,6434,106,6229,6645,759,48,671,858,11.8,33521,910,31784,35353,0.456,0.455
E-8,7451,102,7254,7654,738,58,633,860,9.9,35088,720,33705,36528,0.322,0.470
E-9,904,25,857,954,403,33,343,473,44.6,8711,1438,6317,12013,0.600,0.474
E-10,8872,131,8618,9132,1605,78,1459,1765,18.1,45187,1116,43053,47428,0.430,0.411
E-11,2164,61,2047,2287,482,30,428,544,22.3,9822,395,9077,10628,0.565,0.524
E-12,3624,84,3463,3792,368,31,312,434,10.2,17363,523,16369,18418,0.645,0.444
E-13,9219,120,8988,9457,1025,66,904,1163,11.1,44151,873,42473,45894,0.362,0.481
E-14,16781,210,16374,17198,2354,102,2162,2562,14,92757,2076,88776,96916,0.352,0.454
E-15,3316,82,3159,3480,408,34,347,479,12.3,17512,611,16355,18751,0.532,0.455
E-16,4779,105,4578,4989,577,38,507,657,12.1,27526,965,25699,29482,0.686,0.476
E-17,1839,15,1809,1869,362,22,321,407,19.7,11428,356,10751,12148,0.817,0.476
E-18,2143,23,2098,2189,424,28,374,482,19.8,12126,267,11614,12662,0.694,0.466
E-19,540,8,525,555,319,12,296,344,59.2,2818,180,2486,3194,0.909,0.506
E-20,6104,108,5895,6321,1186,49,1094,1286,19.4,35512,814,33951,37144,0.697,0.485
E-21,618,14,591,647,359,20,321,401,58,3098,209,2715,3535,0.711,0.433
E-22,2250,0,2250,2250,540,31,483,604,24,13046,389,12306,13829,0.639,0.434
E-23,4036,93,3858,4222,414,35,351,488,10.3,22424,970,20602,24408,0.611,0.428
E-24,11292,148,11005,11587,1908,75,1766,2061,16.9,60062,1022,58092,62099,0.506,0.464
E-25,2751,25,2703,2800,655,35,590,728,23.8,14025,230,13582,14483,0.586,0.491
E-26,3619,80,3465,3778,303,29,251,367,8.4,19946,570,18859,21095,0.544,0.453
E-27,3012,82,2855,3177,419,42,344,511,13.9,18115,954,16339,20083,0.459,0.433
E-28,1444,0,1444,1444,345,30,292,408,23.9,7980,444,7156,8899,0.567,0.467
E-30,2579,77,2433,2735,372,31,317,437,14.4,15312,601,14178,16537,0.646,0.482
E-31,10209,155,9909,10517,1413,64,1292,1545,13.8,54006,1010,52063,56022,0.499,0.449
E-32,6926,123,6688,7172,887,52,791,996,12.8,39999,1134,37838,42284,0.538,0.363
E-33,6234,111,6020,6456,1670,61,1554,1794,26.8,33464,981,31596,35443,0.577,0.430
E-34,1874,31,1815,1935,447,27,397,503,23.8,9577,248,9104,10075,0.653,0.453
E-35,3848,68,3717,3984,807,46,722,902,21,19785,588,18665,20972,0.534,0.473
E-38,1414,52,1315,1520,181,19,146,223,12.8,9304,549,8289,10443,0.801,0.467
E-39,1039,21,999,1080,242,21,204,286,23.3,9177,1182,7136,11801,0.772,0.483
E-40,392,27,343,448,48,10,32,72,12.3,1942,159,1655,2279,0.935,0.428
E-41,2317,64,2195,2446,350,30,297,413,15.1,11724,372,11018,12475,0.627,0.470
E-43,5292,94,5111,5479,758,48,669,859,14.3,27648,625,26449,28900,0.463,0.524
E-47,82,4,75,89,36,4,29,43,43.6,379,24,335,428,1.000,0.568
E-51,941,25,893,992,292,22,253,338,31.1,6864,505,5943,7928,0.664,0.468
E-52,3559,76,3413,3712,660,39,588,740,18.5,20683,697,19361,22095,0.684,0.442
E-53,429,30,374,492,94,15,69,127,21.9,2205,228,1801,2698,0.926,0.420
E-55,151,6,139,163,53,3,47,59,35,679,118,484,951,0.844,0.611
E-99,1343,39,1269,1421,236,17,204,272,17.5,10396,701,9109,11863,0.557,0.463
4,,,,,,,,,,,,,,,

"2017 Elk Harvest, Hunters and Recreation Days for All Manners of Take",,,,,,,
,,,,Total,Total,Percent,Total
Unit,Bulls,Cows,Calves,Harvest,Hunters,Success,Rec. Days
1,12,21,3,36,84,43,380
2,43,58,9,110,186,59,887
201,40,51,4,95,209,45,913
3,272,317,23,612,"3,680",17,"15,379"
301,92,108,9,209,"1,893",11,"7,923"
4,577,636,70,"1,283","4,908",26,"22,015"
441,415,376,13,804,"2,273",35,"9,718"
5,320,152,24,496,"1,600",31,"6,195"
6,206,278,43,527,"3,552",15,"16,966"
7,201,84,0,285,"1,823",16,"10,069"
8,255,76,2,333,"1,959",17,"11,021"
9,35,34,5,74,206,36,"1,528"
10,40,284,15,339,596,57,"3,051"
11,450,472,60,982,"4,378",22,"18,685"
211,418,267,35,720,"2,654",27,"12,249"
12,765,668,67,"1,500","5,689",26,"25,098"
13,318,231,67,616,"2,113",29,"9,521"
131,114,142,8,264,"1,257",21,"5,776"
231,138,184,15,337,"2,006",17,"10,276"
14,289,141,17,447,"2,874",16,"15,791"
214,273,314,54,641,"2,107",30,"8,820"
15,341,216,29,586,"4,681",13,"25,649"
16,129,146,32,307,"1,878",16,"9,122"
161,206,179,46,431,"2,695",16,"13,451"
17,151,143,28,322,"2,131",15,"9,642"
171,96,102,4,202,"1,845",11,"8,701"
18,351,201,42,594,"5,925",10,"28,440"
181,79,65,5,149,"1,525",10,"6,647"
19,110,45,7,162,"1,174",14,"6,605"
191,32,35,3,70,711,10,"3,788"
20,165,228,12,405,903,45,"8,712"
21,256,160,9,425,"2,325",18,"11,379"
22,303,185,55,543,"2,733",20,"14,480"
23,420,333,44,797,"4,505",18,"20,725"
24,413,99,31,543,"3,642",15,"16,469"
25,180,82,4,266,"1,805",15,"9,225"
26,101,54,0,155,"1,426",11,"7,094"
